#Solar model
#
#Data taken from the following work:
#	Saclay Solar Seismic model. For further information:
#	"Solar Neutrino Emission Deduced from a Seismic Model", Turck-Chieze et al., 
#	ApJ, 555:L69-L73, 2001 July 1
#Gravitational potential calculted from Poisson law
# Phi = -GM/R PhiBar with PhiBar the normalized potential shown here
#
#Radius [in solar radius]	Temperature [keV]	Normalized gravitational potential [no unit]
0.116478	1.07644	4.43214
0.116865	1.07511	4.42902
0.117251	1.07378	4.4259
0.117636	1.07246	4.42279
0.118022	1.07113	4.41967
0.118407	1.06981	4.41654
0.118791	1.06849	4.41342
0.119176	1.06716	4.4103
0.11956	1.06584	4.40718
0.119944	1.06452	4.40406
0.120327	1.06321	4.40093
0.12071	1.06189	4.39781
0.121093	1.06058	4.39468
0.121476	1.05926	4.39156
0.121858	1.05795	4.38843
0.122241	1.05664	4.3853
0.122622	1.05533	4.38217
0.123004	1.05402	4.37905
0.123385	1.05271	4.37592
0.123767	1.0514	4.37279
0.124147	1.0501	4.36966
0.124528	1.04879	4.36653
0.124908	1.04749	4.36339
0.125288	1.04619	4.36026
0.125668	1.04489	4.35713
0.126048	1.04359	4.354
0.126427	1.04229	4.35086
0.126807	1.04099	4.34773
0.127186	1.0397	4.34459
0.127564	1.0384	4.34146
0.127943	1.03711	4.33832
0.128322	1.03582	4.33518
0.1287	1.03453	4.33204
0.129078	1.03324	4.32891
0.129455	1.03195	4.32577
0.129833	1.03066	4.32263
0.13021	1.02937	4.31949
0.130588	1.02809	4.31635
0.130965	1.02681	4.31321
0.131341	1.02552	4.31006
0.131718	1.02424	4.30692
0.132095	1.02296	4.30378
0.132471	1.02168	4.30063
0.132847	1.0204	4.29749
0.133223	1.01913	4.29435
0.133599	1.01785	4.2912
0.133975	1.01658	4.28805
0.13435	1.01531	4.28491
0.134726	1.01403	4.28176
0.135101	1.01276	4.27861
0.135476	1.01149	4.27547
0.135851	1.01022	4.27232
0.136226	1.00896	4.26917
0.136601	1.00769	4.26602
0.136975	1.00643	4.26287
0.13735	1.00516	4.25972
0.137724	1.0039	4.25657
0.138098	1.00264	4.25341
0.138472	1.00138	4.25026
0.138846	1.00012	4.24711
0.13922	0.998863	4.24395
0.139594	0.997607	4.2408
0.139968	0.996352	4.23764
0.140341	0.995097	4.23449
0.140715	0.993845	4.23133
0.141088	0.992593	4.22818
0.141461	0.991342	4.22502
0.141835	0.990093	4.22186
0.142208	0.988845	4.2187
0.14258	0.987597	4.21554
0.142954	0.986352	4.21239
0.143326	0.985107	4.20923
0.143699	0.983864	4.20607
0.144072	0.982622	4.20291
0.144444	0.98138	4.19974
0.144817	0.980141	4.19658
0.145189	0.978902	4.19342
0.145562	0.977665	4.19026
0.145934	0.976428	4.18709
0.146306	0.975193	4.18393
0.146678	0.973959	4.18076
0.147051	0.972726	4.1776
0.147423	0.971495	4.17443
0.147795	0.970265	4.17127
0.148167	0.969035	4.1681
0.148539	0.967807	4.16493
0.148911	0.96658	4.16176
0.149283	0.965355	4.1586
0.149654	0.964131	4.15543
0.150026	0.962908	4.15226
0.150398	0.961685	4.14909
0.15077	0.960466	4.14592
0.151142	0.959246	4.14275
0.151513	0.958028	4.13957
0.151885	0.95681	4.1364
0.152257	0.955595	4.13323
0.152628	0.95438	4.13006
0.153	0.953167	4.12688
0.153372	0.951955	4.12371
0.153743	0.950744	4.12053
0.154115	0.949534	4.11736
0.154486	0.948326	4.11418
0.154858	0.947119	4.11101
0.15523	0.945913	4.10783
0.155601	0.944709	4.10465
0.155973	0.943505	4.10147
0.156344	0.942303	4.0983
0.156716	0.941102	4.09511
0.157088	0.939903	4.09194
0.15746	0.938704	4.08875
0.157831	0.937507	4.08557
0.158203	0.936311	4.08239
0.158575	0.935116	4.07921
0.158946	0.933923	4.07603
0.159318	0.932731	4.07285
0.15969	0.93154	4.06966
0.160062	0.930351	4.06648
0.160434	0.929162	4.06329
0.160805	0.927975	4.06011
0.161177	0.92679	4.05692
0.161549	0.925605	4.05374
0.161921	0.924422	4.05055
0.162294	0.92324	4.04736
0.162666	0.922059	4.04417
0.163038	0.920879	4.04099
0.16341	0.919702	4.0378
0.163782	0.918524	4.03461
0.164155	0.917349	4.03141
0.164527	0.916174	4.02822
0.164899	0.915001	4.02503
0.165272	0.913829	4.02184
0.165645	0.912659	4.01865
0.166017	0.91149	4.01546
0.16639	0.910322	4.01226
0.166763	0.909154	4.00907
0.167135	0.907989	4.00587
0.167508	0.906824	4.00268
0.167881	0.905661	3.99948
0.168255	0.904499	3.99628
0.168628	0.903339	3.99309
0.169001	0.902179	3.98989
0.169374	0.901021	3.98669
0.169748	0.899864	3.98349
0.170121	0.898709	3.98029
0.170495	0.897553	3.97709
0.170869	0.896401	3.97389
0.171242	0.895248	3.97069
0.171616	0.894097	3.96749
0.17199	0.892948	3.96429
0.172364	0.8918	3.96108
0.172739	0.890653	3.95788
0.173113	0.889507	3.95467
0.173487	0.888362	3.95147
0.173862	0.887218	3.94827
0.174236	0.886076	3.94506
0.174611	0.884934	3.94185
0.174986	0.883795	3.93865
0.175361	0.882656	3.93544
0.175736	0.881518	3.93223
0.176112	0.880382	3.92902
0.176487	0.879247	3.92581
0.176863	0.878112	3.9226
0.177238	0.876979	3.91939
0.177614	0.875847	3.91618
0.17799	0.874717	3.91296
0.178366	0.873588	3.90975
0.178742	0.872459	3.90654
0.179119	0.871332	3.90332
0.179495	0.870206	3.90011
0.179872	0.869081	3.89689
0.180249	0.867958	3.89368
0.180626	0.866834	3.89046
0.181003	0.865713	3.88724
0.18138	0.864593	3.88402
0.181757	0.863474	3.88081
0.182135	0.862355	3.87759
0.182513	0.861239	3.87437
0.182891	0.860123	3.87115
0.183269	0.859008	3.86792
0.183647	0.857894	3.8647
0.184025	0.856782	3.86148
0.184404	0.85567	3.85826
0.184783	0.85456	3.85503
0.185162	0.85345	3.85181
0.185541	0.852342	3.84858
0.18592	0.851235	3.84536
0.1863	0.850129	3.84213
0.186679	0.849024	3.8389
0.187059	0.84792	3.83567
0.187439	0.846817	3.83245
0.18782	0.845715	3.82922
0.1882	0.844614	3.82599
0.188581	0.843514	3.82276
0.188961	0.842416	3.81952
0.189342	0.841318	3.81629
0.189724	0.840222	3.81306
0.190105	0.839126	3.80983
0.190487	0.838032	3.80659
0.190869	0.836938	3.80336
0.191251	0.835846	3.80012
0.191633	0.834754	3.79688
0.192016	0.833664	3.79365
0.192398	0.832575	3.79041
0.192781	0.831486	3.78717
0.193164	0.830399	3.78393
0.193548	0.829313	3.78069
0.193931	0.828227	3.77745
0.194315	0.827143	3.77421
0.194699	0.82606	3.77097
0.195084	0.824977	3.76772
0.195468	0.823896	3.76448
0.195853	0.822816	3.76124
0.196238	0.821736	3.75799
0.196623	0.820658	3.75475
0.197009	0.819581	3.7515
0.197395	0.818504	3.74825
0.19778	0.817429	3.745
0.198167	0.816355	3.74175
0.198553	0.815281	3.7385
0.19894	0.814209	3.73525
0.199327	0.813137	3.732
0.199714	0.812067	3.72875
0.200102	0.810997	3.7255
0.20049	0.809929	3.72224
0.200878	0.808861	3.71899
0.201266	0.807794	3.71574
0.201655	0.806728	3.71248
0.202044	0.805664	3.70922
0.202433	0.8046	3.70596
0.202822	0.803537	3.70271
0.203212	0.802475	3.69945
0.203602	0.801414	3.69619
0.203992	0.800354	3.69293
0.204383	0.799295	3.68966
0.204774	0.798236	3.6864
0.205165	0.797179	3.68314
0.205557	0.796123	3.67987
0.205948	0.795067	3.67661
0.206341	0.794013	3.67334
0.206733	0.792959	3.67008
0.207126	0.791906	3.66681
0.207519	0.790854	3.66354
0.207912	0.789804	3.66027
0.208306	0.788754	3.657
0.208699	0.787704	3.65373
0.209094	0.786656	3.65046
0.209488	0.785609	3.64719
0.209883	0.784563	3.64391
0.210278	0.783517	3.64064
0.210674	0.782472	3.63736
0.21107	0.781429	3.63409
0.211466	0.780386	3.63081
0.211862	0.779344	3.62753
