#Solar model
#
#Data taken from the following work:
#	Saclay Solar Seismic model. For further information:
#	"Solar Neutrino Emission Deduced from a Seismic Model", Turck-Chieze et al., 
#	ApJ, 555:L69-L73, 2001 July 1
#Gravitational potential calculted from Poisson law
# Phi = -GM/R PhiBar with PhiBar the normalized potential shown here
#
#Radius [in solar radius]	Temperature [keV]	Normalized gravitational potential [no unit]
0.463688	0.376734	2.09541
0.464648	0.375838	2.09158
0.465611	0.374942	2.08775
0.466576	0.374046	2.08392
0.467545	0.37315	2.08009
0.468516	0.372255	2.07626
0.469491	0.371359	2.07243
0.470469	0.370463	2.0686
0.47145	0.369567	2.06477
0.472433	0.368672	2.06094
0.47342	0.367776	2.05711
0.47441	0.36688	2.05328
0.475403	0.365985	2.04945
0.4764	0.365089	2.04562
0.477399	0.364194	2.04179
0.478401	0.363298	2.03797
0.479407	0.362403	2.03414
0.480416	0.361508	2.03031
0.481428	0.360612	2.02649
0.482443	0.359717	2.02266
0.483461	0.358821	2.01884
0.484482	0.357926	2.01501
0.485507	0.357031	2.01119
0.486535	0.356135	2.00736
0.487566	0.35524	2.00354
0.4886	0.354345	1.99972
0.489638	0.353449	1.9959
0.490679	0.352554	1.99208
0.491723	0.351659	1.98826
0.49277	0.350764	1.98444
0.493821	0.349868	1.98062
0.494875	0.348973	1.9768
0.495932	0.348078	1.97299
0.496993	0.347182	1.96917
0.498056	0.346287	1.96536
0.499123	0.345392	1.96155
0.500194	0.344496	1.95774
0.501268	0.343601	1.95392
0.502345	0.342705	1.95012
0.503426	0.34181	1.94631
0.50451	0.340914	1.9425
0.505597	0.340019	1.93869
0.506688	0.339123	1.93489
0.507782	0.338228	1.93109
0.50888	0.337332	1.92728
0.509981	0.336436	1.92348
0.511085	0.335541	1.91969
0.512193	0.334645	1.91589
0.513304	0.333749	1.91209
0.514419	0.332853	1.9083
0.515537	0.331957	1.9045
0.516659	0.331061	1.90071
0.517784	0.330164	1.89692
0.518913	0.329268	1.89313
0.520045	0.328372	1.88935
0.521181	0.327475	1.88556
0.52232	0.326578	1.88178
0.523463	0.325681	1.878
0.524609	0.324785	1.87422
0.525759	0.323887	1.87044
0.526913	0.32299	1.86667
0.52807	0.322093	1.86289
0.52923	0.321196	1.85912
0.530394	0.320298	1.85536
0.531562	0.3194	1.85159
0.532733	0.318502	1.84782
0.533908	0.317604	1.84406
0.535086	0.316706	1.8403
0.536268	0.315807	1.83654
0.537454	0.314908	1.83279
0.538643	0.314009	1.82903
0.539836	0.31311	1.82528
0.541032	0.31221	1.82154
0.542232	0.311311	1.81779
0.543435	0.310411	1.81405
0.544643	0.30951	1.81031
0.545854	0.30861	1.80657
0.547068	0.307709	1.80283
0.548286	0.306808	1.7991
0.549508	0.305907	1.79537
0.550733	0.305005	1.79165
0.551962	0.304103	1.78792
0.553195	0.3032	1.7842
0.554431	0.302297	1.78048
0.555671	0.301394	1.77677
0.556915	0.300491	1.77306
0.558162	0.299587	1.76935
0.559413	0.298682	1.76564
0.560668	0.297778	1.76194
0.561926	0.296872	1.75825
0.563188	0.295966	1.75455
0.564454	0.29506	1.75086
0.565723	0.294153	1.74717
0.566996	0.293246	1.74348
0.568272	0.292338	1.7398
0.569553	0.29143	1.73613
0.570837	0.290521	1.73245
0.572124	0.289612	1.72878
0.573415	0.288702	1.72512
0.57471	0.287791	1.72145
0.576009	0.286879	1.7178
0.577311	0.285967	1.71414
0.578617	0.285055	1.71049
0.579926	0.284141	1.70684
0.581239	0.283227	1.7032
0.582556	0.282312	1.69956
0.583876	0.281396	1.69593
0.585201	0.28048	1.6923
0.586528	0.279562	1.68867
0.587859	0.278644	1.68505
0.589194	0.277725	1.68144
0.590533	0.276805	1.67782
0.591875	0.275884	1.67422
0.593221	0.274962	1.67061
0.59457	0.274039	1.66701
0.595923	0.273115	1.66342
0.597279	0.27219	1.65983
0.598639	0.271263	1.65625
0.600003	0.270336	1.65267
0.60137	0.269408	1.64909
0.602741	0.268479	1.64552
0.604115	0.267548	1.64196
0.605493	0.266616	1.6384
0.606874	0.265683	1.63485
0.608259	0.264749	1.6313
0.609648	0.263814	1.62775
0.611039	0.262877	1.62421
0.612435	0.261939	1.62068
0.613834	0.261	1.61715
0.615236	0.260059	1.61363
0.616642	0.259117	1.61011
0.618051	0.258174	1.6066
0.619464	0.257229	1.6031
0.62088	0.256283	1.5996
0.622299	0.255335	1.59611
0.623722	0.254386	1.59262
0.625148	0.253435	1.58913
0.626578	0.252483	1.58566
0.62801	0.251529	1.58219
0.629447	0.250573	1.57872
0.630886	0.249616	1.57527
0.632329	0.248656	1.57182
0.633775	0.247695	1.56837
0.635224	0.246732	1.56493
0.636676	0.245767	1.5615
0.638132	0.2448	1.55807
0.639591	0.243831	1.55465
0.641053	0.24286	1.55124
0.642518	0.241887	1.54784
0.643986	0.240911	1.54444
0.645457	0.239933	1.54105
0.646931	0.238953	1.53766
0.648408	0.23797	1.53428
0.649888	0.236984	1.53091
0.651371	0.235996	1.52755
0.652857	0.235005	1.52419
0.654345	0.234011	1.52084
0.655837	0.233013	1.5175
0.657331	0.232013	1.51417
0.658828	0.231009	1.51084
0.660327	0.230002	1.50753
0.661829	0.228991	1.50422
0.663333	0.227977	1.50091
0.66484	0.226959	1.49762
0.66635	0.225938	1.49433
0.667861	0.224912	1.49106
0.669376	0.223881	1.48779
0.670892	0.222845	1.48453
0.67241	0.221803	1.48128
0.673929	0.220756	1.47804
0.675451	0.219702	1.47481
0.676974	0.218642	1.47159
0.678498	0.217575	1.46838
0.680023	0.2165	1.46518
0.68155	0.215418	1.46199
0.683078	0.214327	1.45881
0.684607	0.213228	1.45564
0.686136	0.21212	1.45249
0.687666	0.211002	1.44934
0.689197	0.209874	1.44621
0.690728	0.208736	1.44309
0.69226	0.207586	1.43998
0.693791	0.206425	1.43688
0.695323	0.205251	1.4338
0.696854	0.204064	1.43073
0.698385	0.202863	1.42767
0.699916	0.201646	1.42463
0.701446	0.200414	1.42159
0.702975	0.199164	1.41858
0.704502	0.197896	1.41558
0.706028	0.196608	1.41259
0.707553	0.195299	1.40962
0.709147	0.193904	1.40652
0.710029	0.193119	1.40481
0.712019	0.191314	1.40097
0.713628	0.189835	1.39789
0.71514	0.188451	1.395
0.716648	0.187074	1.39212
0.718154	0.185706	1.38927
0.719657	0.184346	1.38643
0.721157	0.182994	1.3836
0.722653	0.18165	1.3808
0.724147	0.180314	1.37801
0.725637	0.178985	1.37524
0.727124	0.177665	1.37248
0.728608	0.176352	1.36974
0.730088	0.175048	1.36702
0.731565	0.173751	1.36431
0.733039	0.172461	1.36162
0.734509	0.17118	1.35894
0.735976	0.169906	1.35629
0.737439	0.16864	1.35364
0.738898	0.167382	1.35102
0.740354	0.166131	1.34841
0.741807	0.164888	1.34582
0.743255	0.163653	1.34324
0.7447	0.162425	1.34068
0.746142	0.161205	1.33813
0.747579	0.159992	1.3356
0.749012	0.158787	1.33309
0.750442	0.157589	1.33059
0.751868	0.156399	1.32811
0.75329	0.155216	1.32564
0.754708	0.15404	1.32319
0.756122	0.152872	1.32075
0.757532	0.151712	1.31833
0.758938	0.150558	1.31592
0.760339	0.149412	1.31353
0.761737	0.148273	1.31116
0.76313	0.147142	1.3088
0.764519	0.146017	1.30645
0.765904	0.1449	1.30413
0.767285	0.14379	1.30181
0.768661	0.142687	1.29951
0.770033	0.141592	1.29723
0.7714	0.140503	1.29496
0.772764	0.139422	1.2927
0.774122	0.138347	1.29046
0.775477	0.13728	1.28824
0.776826	0.136219	1.28603
0.778172	0.135166	1.28383
0.779512	0.134119	1.28165
0.780848	0.133079	1.27949
0.78218	0.132047	1.27733
0.783507	0.131021	1.2752
0.784829	0.130002	1.27307
0.786146	0.128989	1.27096
0.787459	0.127984	1.26887
0.788767	0.126985	1.26679
0.79007	0.125993	1.26472
0.791368	0.125007	1.26267
0.792662	0.124029	1.26063
0.793951	0.123057	1.2586
0.795234	0.122091	1.25659
0.796513	0.121132	1.25459
0.797787	0.12018	1.25261
0.799056	0.119234	1.25064
0.80032	0.118295	1.24869
0.801579	0.117362	1.24674
0.802833	0.116435	1.24481
0.804082	0.115515	1.2429
0.805326	0.114601	1.241
0.806565	0.113694	1.23911
0.807798	0.112793	1.23723
0.809027	0.111898	1.23537
0.810251	0.11101	1.23352
0.811469	0.110128	1.23168
0.812682	0.109251	1.22986
0.81389	0.108381	1.22805
0.815093	0.107518	1.22625
0.81629	0.10666	1.22446
0.817482	0.105808	1.22269
0.818669	0.104963	1.22093
0.819851	0.104123	1.21919
0.821027	0.10329	1.21745
0.822199	0.102462	1.21573
0.823364	0.10164	1.21402
0.824525	0.100825	1.21233
0.82568	0.100015	1.21064
0.82683	0.0992105	1.20897
0.827974	0.0984122	1.20731
0.829113	0.0976197	1.20566
0.830247	0.0968329	1.20403
0.831375	0.0960518	1.2024
0.832498	0.0952765	1.20079
0.833615	0.0945067	1.19919
0.834727	0.0937427	1.1976
0.835834	0.0929841	1.19603
0.836935	0.0922312	1.19446
0.838031	0.0914839	1.19291
0.839121	0.090742	1.19137
0.840206	0.0900056	1.18984
0.841286	0.0892747	1.18832
0.84236	0.0885491	1.18681
0.843428	0.0878291	1.18532
0.844491	0.0871143	1.18383
0.845549	0.0864049	1.18236
0.846601	0.0857008	1.1809
0.847648	0.085002	1.17945
0.848689	0.0843084	1.17801
0.849724	0.08362	1.17658
0.850755	0.0829369	1.17516
0.85178	0.0822589	1.17376
0.852799	0.081586	1.17236
0.853813	0.0809182	1.17097
0.854821	0.0802555	1.1696
0.855824	0.0795979	1.16823
0.856821	0.0789453	1.16688
0.857813	0.0782976	1.16553
0.8588	0.0776549	1.1642
0.859781	0.0770171	1.16288
0.860756	0.0763842	1.16157
0.861726	0.0757562	1.16026
0.862691	0.075133	1.15897
0.86365	0.0745147	1.15769
0.864604	0.0739011	1.15642
0.865553	0.0732922	1.15515
0.866496	0.0726881	1.1539
0.867433	0.0720887	1.15266
0.868365	0.0714939	1.15142
0.869292	0.0709038	1.1502
0.870213	0.0703182	1.14899
0.871129	0.0697373	1.14778
0.87204	0.0691609	1.14659
0.872945	0.068589	1.1454
0.873845	0.0680216	1.14423
0.87474	0.0674586	1.14306
0.875629	0.0669001	1.1419
0.876513	0.066346	1.14076
0.877392	0.0657963	1.13962
0.878265	0.0652509	1.13849
0.879133	0.0647098	1.13737
0.879996	0.064173	1.13625
0.880853	0.0636405	1.13515
0.881705	0.0631122	1.13406
0.882552	0.0625881	1.13297
0.883394	0.0620682	1.13189
0.884231	0.0615524	1.13083
0.885062	0.0610408	1.12977
0.885888	0.0605332	1.12872
0.886709	0.0600297	1.12767
0.887525	0.0595303	1.12664
0.888336	0.0590349	1.12561
0.889142	0.0585434	1.1246
0.889942	0.0580559	1.12359
0.890738	0.0575724	1.12258
0.891528	0.0570927	1.12159
0.892313	0.0566169	1.12061
0.893094	0.056145	1.11963
0.893869	0.0556769	1.11866
0.894639	0.0552125	1.1177
0.895405	0.054752	1.11675
0.896165	0.0542951	1.1158
0.89692	0.053842	1.11486
0.897671	0.0533926	1.11393
0.898416	0.0529468	1.11301
0.899157	0.0525046	1.11209
0.899893	0.0520661	1.11119
0.900624	0.0516311	1.11029
0.90135	0.0511997	1.10939
0.902071	0.0507717	1.10851
0.902787	0.0503473	1.10763
0.903499	0.0499264	1.10676
0.904205	0.0495088	1.1059
0.904908	0.0490947	1.10504
0.905605	0.048684	1.10419
0.906298	0.0482767	1.10335
0.906986	0.0478727	1.10251
0.907669	0.047472	1.10168
0.908347	0.0470746	1.10086
0.909022	0.0466805	1.10004
0.909691	0.0462896	1.09924
0.910356	0.045902	1.09843
0.911016	0.0455176	1.09764
0.911672	0.0451363	1.09685
0.912323	0.0447582	1.09607
0.912969	0.0443833	1.09529
0.913612	0.0440114	1.09452
0.914249	0.0436427	1.09376
0.914883	0.043277	1.09301
0.915512	0.0429144	1.09225
0.916136	0.0425548	1.09151
0.916756	0.0421981	1.09077
0.917372	0.0418445	1.09004
0.917983	0.0414939	1.08932
0.91859	0.0411461	1.0886
0.919193	0.0408013	1.08788
0.919792	0.0404594	1.08718
0.920386	0.0401204	1.08648
0.920976	0.0397842	1.08578
0.921562	0.0394508	1.08509
0.922144	0.0391202	1.08441
0.922721	0.0387924	1.08373
0.923295	0.0384674	1.08306
0.923864	0.038145	1.08239
0.924429	0.0378254	1.08173
0.92499	0.0375084	1.08107
0.925547	0.0371942	1.08042
0.9261	0.0368825	1.07978
0.92665	0.0365734	1.07914
0.927195	0.036267	1.07851
0.927736	0.0359631	1.07788
0.928273	0.0356618	1.07725
0.928806	0.035363	1.07664
0.929336	0.0350667	1.07602
0.929861	0.0347729	1.07541
0.930383	0.0344816	1.07481
0.930901	0.0341928	1.07421
0.931415	0.0339063	1.07362
0.931925	0.0336223	1.07303
0.932432	0.0333407	1.07245
0.932934	0.0330615	1.07187
0.933433	0.0327846	1.0713
0.933929	0.03251	1.07073
0.93442	0.0322377	1.07017
0.934909	0.0319678	1.06961
0.935393	0.0317001	1.06906
0.935874	0.0314347	1.06851
0.936351	0.0311716	1.06797
0.936824	0.0309107	1.06743
0.937295	0.030652	1.06689
0.937761	0.0303955	1.06636
0.938224	0.0301412	1.06583
0.938684	0.0298891	1.06531
0.93914	0.0296391	1.06479
0.939593	0.0293913	1.06428
0.940042	0.0291456	1.06377
0.940488	0.028902	1.06327
0.940931	0.0286605	1.06277
0.94137	0.0284211	1.06228
0.941806	0.0281837	1.06178
0.942238	0.0279484	1.0613
0.942667	0.0277151	1.06081
0.943094	0.0274838	1.06033
0.943516	0.0272545	1.05986
0.943936	0.0270272	1.05939
0.944353	0.0268018	1.05892
0.944766	0.0265784	1.05846
0.945176	0.0263569	1.058
0.945583	0.0261373	1.05754
0.945987	0.0259196	1.05709
0.946387	0.0257038	1.05665
0.946785	0.0254898	1.0562
0.94718	0.0252777	1.05576
0.947571	0.0250674	1.05533
0.94796	0.0248589	1.05489
0.948346	0.0246522	1.05446
0.948728	0.0244472	1.05404
0.949108	0.024244	1.05362
0.949485	0.0240426	1.0532
0.949859	0.0238429	1.05278
0.95023	0.0236449	1.05237
0.950598	0.0234487	1.05197
0.950963	0.0232541	1.05156
0.951325	0.0230612	1.05116
0.951685	0.02287	1.05076
0.952042	0.0226804	1.05037
0.952396	0.0224925	1.04998
0.952747	0.0223062	1.04959
0.953096	0.0221215	1.04921
0.953442	0.0219384	1.04883
0.953785	0.0217569	1.04845
0.954125	0.0215771	1.04808
0.954463	0.0213987	1.04771
0.954798	0.021222	1.04734
0.955131	0.0210468	1.04697
0.955461	0.0208732	1.04661
0.955788	0.0207011	1.04625
0.956113	0.0205305	1.0459
0.956435	0.0203614	1.04555
0.956755	0.0201938	1.0452
0.957072	0.0200277	1.04485
0.957387	0.0198631	1.04451
0.9577	0.0196999	1.04417
0.958009	0.0195382	1.04383
0.958317	0.0193778	1.04349
0.958622	0.0192189	1.04316
0.958925	0.0190614	1.04283
0.959225	0.0189053	1.04251
0.959523	0.0187506	1.04218
0.959818	0.0185972	1.04186
0.960112	0.0184452	1.04154
0.960403	0.0182945	1.04123
0.960691	0.0181452	1.04092
0.960978	0.0179971	1.04061
0.961262	0.0178504	1.0403
0.961544	0.017705	1.03999
0.961823	0.0175609	1.03969
0.962101	0.017418	1.03939
0.962376	0.0172765	1.03909
0.962649	0.0171362	1.0388
0.96292	0.0169971	1.03851
0.963189	0.0168593	1.03822
0.963456	0.0167228	1.03793
0.96372	0.0165874	1.03764
0.963983	0.0164533	1.03736
0.964243	0.0163205	1.03708
0.964502	0.0161888	1.0368
0.964758	0.0160583	1.03653
0.965012	0.0159291	1.03625
0.965265	0.015801	1.03598
0.965515	0.0156741	1.03572
0.965763	0.0155484	1.03545
0.96601	0.0154238	1.03519
0.966254	0.0153004	1.03492
0.966497	0.0151781	1.03466
0.966737	0.015057	1.03441
0.966976	0.014937	1.03415
0.967213	0.0148181	1.0339
0.967448	0.0147003	1.03365
0.967681	0.0145836	1.0334
0.967912	0.014468	1.03315
0.968141	0.0143535	1.03291
0.968369	0.0142401	1.03266
0.968595	0.0141277	1.03242
0.968819	0.0140163	1.03218
0.969041	0.013906	1.03195
0.969262	0.0137967	1.03171
0.969481	0.0136884	1.03148
0.969698	0.0135811	1.03125
0.969913	0.0134748	1.03102
0.970127	0.0133695	1.03079
0.970339	0.0132652	1.03057
0.97055	0.0131618	1.03034
0.970758	0.0130594	1.03012
0.970966	0.012958	1.0299
0.971171	0.0128575	1.02968
0.971375	0.0127579	1.02947
0.971578	0.0126592	1.02925
0.971778	0.0125614	1.02904
0.971978	0.0124646	1.02883
0.972175	0.0123687	1.02862
0.972372	0.0122736	1.02841
0.972566	0.0121795	1.02821
0.972759	0.0120862	1.028
0.972951	0.0119938	1.0278
0.973141	0.0119022	1.0276
0.97333	0.0118115	1.0274
0.973517	0.0117217	1.0272
0.973703	0.0116327	1.02701
0.973887	0.0115445	1.02681
0.97407	0.0114572	1.02662
0.974251	0.0113706	1.02643
0.974431	0.0112849	1.02624
0.97461	0.0111999	1.02605
0.974787	0.0111158	1.02587
0.974963	0.0110324	1.02568
0.975137	0.0109498	1.0255
0.975311	0.0108679	1.02531
0.975483	0.0107868	1.02513
0.975653	0.0107064	1.02495
0.975823	0.0106267	1.02478
0.97599	0.0105478	1.0246
0.976157	0.0104695	1.02442
0.976323	0.0103919	1.02425
0.976487	0.0103151	1.02408
0.97665	0.0102388	1.02391
0.976811	0.0101633	1.02374
0.976972	0.0100884	1.02357
0.977131	0.0100141	1.0234
0.977289	0.00994045	1.02324
0.977446	0.00986741	1.02307
0.977602	0.00979499	1.02291
0.977756	0.00972316	1.02275
0.977909	0.00965191	1.02259
0.978062	0.00958124	1.02243
0.978213	0.00951115	1.02227
0.978363	0.00944161	1.02212
0.978511	0.00937263	1.02196
0.978659	0.00930419	1.02181
0.978805	0.0092363	1.02165
0.978951	0.00916894	1.0215
0.979095	0.0091021	1.02135
0.979238	0.00903578	1.0212
0.97938	0.00896997	1.02105
0.979521	0.00890466	1.02091
0.979661	0.00883984	1.02076
0.9798	0.00877552	1.02062
0.979938	0.00871166	1.02047
0.980075	0.00864828	1.02033
0.980211	0.00858537	1.02019
0.980345	0.00852291	1.02005
0.980479	0.00846089	1.01991
0.980612	0.00839932	1.01977
0.980743	0.00833817	1.01964
0.980874	0.00827745	1.0195
0.981004	0.00821715	1.01936
0.981132	0.00815725	1.01923
0.98126	0.00809776	1.0191
0.981387	0.00803867	1.01897
0.981513	0.00797998	1.01883
0.981638	0.00792167	1.01871
0.981761	0.00786375	1.01858
0.981885	0.00780621	1.01845
0.982007	0.00774905	1.01832
0.982128	0.00769227	1.0182
0.982248	0.00763586	1.01807
0.982367	0.00757982	1.01795
0.982485	0.00752415	1.01783
0.982603	0.00746885	1.01771
0.982719	0.00741391	1.01758
0.982835	0.00735933	1.01747
0.982949	0.00730512	1.01735
0.983063	0.00725126	1.01723
0.983176	0.00719776	1.01711
0.983288	0.00714461	1.017
0.983399	0.00709181	1.01688
0.98351	0.00703937	1.01677
0.983619	0.00698728	1.01665
0.983728	0.00693553	1.01654
0.983836	0.00688414	1.01643
0.983943	0.00683309	1.01632
0.984049	0.00678239	1.01621
0.984154	0.00673205	1.0161
0.984259	0.00668204	1.01599
0.984362	0.00663239	1.01589
0.984465	0.00658309	1.01578
0.984567	0.00653414	1.01568
0.984668	0.00648555	1.01557
0.984769	0.0064373	1.01547
0.984869	0.00638941	1.01536
0.984967	0.00634187	1.01526
0.985066	0.00629469	1.01516
0.985163	0.00624787	1.01506
0.98526	0.0062014	1.01496
0.985355	0.0061553	1.01486
0.98545	0.00610955	1.01476
0.985545	0.00606416	1.01467
0.985638	0.00601913	1.01457
0.985731	0.00597447	1.01448
0.985823	0.00593016	1.01438
0.985915	0.00588622	1.01429
0.986005	0.00584264	1.01419
0.986095	0.00579942	1.0141
0.986184	0.00575657	1.01401
0.986273	0.00571409	1.01392
0.986361	0.00567197	1.01383
0.986448	0.00563022	1.01374
0.986534	0.00558883	1.01365
0.98662	0.00554782	1.01356
0.986705	0.00550717	1.01347
0.98679	0.00546688	1.01339
0.986873	0.00542696	1.0133
0.986957	0.00538741	1.01322
0.987039	0.00534823	1.01313
0.987121	0.00530941	1.01305
0.987202	0.00527096	1.01296
0.987282	0.00523287	1.01288
0.987362	0.00519514	1.0128
0.987442	0.00515778	1.01272
0.98752	0.00512078	1.01264
0.987598	0.00508413	1.01256
0.987676	0.00504784	1.01248
0.987753	0.00501191	1.0124
0.987829	0.00497634	1.01232
0.987905	0.00494113	1.01224
0.98798	0.00490626	1.01217
0.988054	0.00487176	1.01209
0.988128	0.0048376	1.01202
0.988201	0.00480379	1.01194
0.988274	0.00477033	1.01187
0.988347	0.00473721	1.01179
0.988418	0.00470444	1.01172
0.988489	0.004672	1.01164
0.98856	0.00463991	1.01157
0.98863	0.00460815	1.0115
0.988699	0.00457673	1.01143
0.988769	0.00454563	1.01136
0.988837	0.00451487	1.01129
0.988905	0.00448443	1.01122
0.988973	0.00445431	1.01115
0.989039	0.00442452	1.01108
0.989106	0.00439504	1.01101
0.989172	0.00436587	1.01095
0.989237	0.00433702	1.01088
0.989302	0.00430848	1.01081
0.989367	0.00428025	1.01075
0.989431	0.00425232	1.01068
0.989495	0.00422469	1.01062
0.989558	0.00419736	1.01055
0.98962	0.00417033	1.01049
0.989683	0.00414359	1.01042
0.989744	0.00411714	1.01036
0.989806	0.00409097	1.0103
0.989866	0.00406509	1.01024
0.989927	0.00403949	1.01018
0.989987	0.00401416	1.01011
0.990047	0.00398911	1.01005
0.990106	0.00396433	1.00999
0.990164	0.00393981	1.00993
0.990223	0.00391556	1.00987
0.990281	0.00389157	1.00981
0.990338	0.00386783	1.00976
0.990395	0.00384435	1.0097
0.990452	0.00382112	1.00964
0.990508	0.00379814	1.00958
0.990564	0.0037754	1.00953
0.99062	0.0037529	1.00947
0.990675	0.00373063	1.00941
0.99073	0.0037086	1.00936
0.990784	0.0036868	1.0093
0.990838	0.00366523	1.00925
0.990892	0.00364388	1.00919
0.990945	0.00362275	1.00914
0.990998	0.00360183	1.00908
0.991051	0.00358113	1.00903
0.991103	0.00356064	1.00898
0.991155	0.00354035	1.00892
0.991206	0.00352027	1.00887
0.991258	0.0035004	1.00882
0.991309	0.00348072	1.00877
0.991359	0.00346124	1.00872
0.991409	0.00344195	1.00866
0.991459	0.00342285	1.00861
0.991509	0.00340395	1.00856
0.991558	0.00338523	1.00851
0.991607	0.00336669	1.00846
0.991655	0.00334834	1.00842
0.991704	0.00333017	1.00837
0.991752	0.00331218	1.00832
0.991799	0.00329436	1.00827
0.991847	0.00327672	1.00822
0.991894	0.00325925	1.00817
0.991941	0.00324194	1.00812
0.991987	0.0032248	1.00808
0.992033	0.00320783	1.00803
0.992079	0.00319101	1.00798
0.992125	0.00317435	1.00794
0.99217	0.00315785	1.00789
0.992215	0.0031415	1.00785
0.99226	0.0031253	1.0078
0.992304	0.00310925	1.00775
0.992349	0.00309334	1.00771
0.992393	0.00307757	1.00767
0.992436	0.00306195	1.00762
0.99248	0.00304646	1.00758
0.992523	0.00303112	1.00753
0.992566	0.0030159	1.00749
0.992608	0.00300082	1.00745
0.992651	0.00298587	1.0074
0.992693	0.00297104	1.00736
0.992735	0.00295635	1.00732
0.992776	0.00294178	1.00728
0.992818	0.00292733	1.00723
0.992859	0.002913	1.00719
0.9929	0.0028988	1.00715
0.99294	0.00288471	1.00711
0.992981	0.00287074	1.00707
0.993021	0.00285689	1.00703
0.993061	0.00284315	1.00699
0.993101	0.00282953	1.00695
0.99314	0.00281602	1.00691
0.993179	0.00280262	1.00687
0.993218	0.00278933	1.00683
0.993257	0.00277615	1.00679
0.993295	0.00276308	1.00675
0.993334	0.00275012	1.00671
0.993372	0.00273726	1.00667
0.99341	0.00272451	1.00663
0.993448	0.00271186	1.0066
0.993485	0.00269932	1.00656
0.993522	0.00268687	1.00652
0.993559	0.00267453	1.00648
0.993596	0.00266229	1.00645
0.993633	0.00265015	1.00641
0.993669	0.00263811	1.00637
0.993705	0.00262616	1.00633
0.993741	0.00261431	1.0063
0.993777	0.00260255	1.00626
0.993813	0.00259089	1.00623
0.993848	0.00257932	1.00619
0.993883	0.00256784	1.00615
0.993918	0.00255646	1.00612
0.993953	0.00254516	1.00608
0.993988	0.00253396	1.00605
0.994022	0.00252284	1.00601
0.994057	0.00251182	1.00598
0.994091	0.00250088	1.00594
0.994125	0.00249003	1.00591
0.994158	0.00247926	1.00588
0.994192	0.00246857	1.00584
0.994225	0.00245797	1.00581
0.994258	0.00244746	1.00578
0.994291	0.00243702	1.00574
0.994324	0.00242667	1.00571
0.994357	0.00241639	1.00568
0.994389	0.0024062	1.00564
0.994421	0.00239608	1.00561
0.994454	0.00238604	1.00558
0.994486	0.00237608	1.00554
0.994517	0.0023662	1.00551
0.994549	0.00235639	1.00548
0.99458	0.00234666	1.00545
0.994612	0.002337	1.00542
0.994643	0.00232742	1.00539
0.994674	0.00231791	1.00535
0.994704	0.00230848	1.00532
0.994735	0.00229911	1.00529
0.994765	0.00228982	1.00526
0.994796	0.0022806	1.00523
0.994826	0.00227144	1.0052
0.994856	0.00226236	1.00517
0.994886	0.00225334	1.00514
0.994915	0.00224439	1.00511
0.994945	0.00223551	1.00508
0.994974	0.0022267	1.00505
0.995004	0.00221795	1.00502
0.995033	0.00220926	1.00499
0.995062	0.00220064	1.00496
0.995091	0.00219209	1.00493
0.995119	0.0021836	1.0049
0.995148	0.00217517	1.00488
0.995176	0.00216681	1.00485
0.995204	0.0021585	1.00482
0.995232	0.00215026	1.00479
0.99526	0.00214207	1.00476
0.995288	0.00213395	1.00473
0.995316	0.00212588	1.00471
0.995343	0.00211787	1.00468
0.995371	0.00210992	1.00465
0.995398	0.00210202	1.00462
0.995425	0.00209419	1.0046
0.995452	0.0020864	1.00457
0.995479	0.00207868	1.00454
0.995506	0.00207101	1.00451
0.995533	0.00206339	1.00449
0.995559	0.00205582	1.00446
0.995585	0.00204831	1.00443
0.995612	0.00204085	1.00441
0.995638	0.00203344	1.00438
0.995664	0.00202609	1.00436
0.99569	0.00201878	1.00433
0.995715	0.00201153	1.0043
0.995741	0.00200432	1.00428
0.995766	0.00199716	1.00425
0.995792	0.00199005	1.00423
0.995817	0.00198299	1.0042
0.995842	0.00197598	1.00418
0.995867	0.00196901	1.00415
0.995892	0.00196209	1.00412
0.995917	0.00195521	1.0041
0.995942	0.00194838	1.00408
0.995966	0.0019416	1.00405
0.995991	0.00193485	1.00403
0.996015	0.00192816	1.004
0.996039	0.0019215	1.00398
0.996063	0.00191489	1.00395
0.996087	0.00190832	1.00393
0.996111	0.00190179	1.0039
0.996135	0.00189531	1.00388
0.996158	0.00188886	1.00386
0.996182	0.00188246	1.00383
0.996205	0.0018761	1.00381
0.996229	0.00186977	1.00378
0.996252	0.00186349	1.00376
0.996275	0.00185724	1.00374
0.996298	0.00185104	1.00372
0.996321	0.00184487	1.00369
0.996344	0.00183873	1.00367
0.996367	0.00183264	1.00365
0.996389	0.00182658	1.00362
0.996412	0.00182056	1.0036
0.996434	0.00181457	1.00358
0.996456	0.00180862	1.00356
0.996479	0.00180271	1.00353
0.996501	0.00179682	1.00351
0.996523	0.00179098	1.00349
0.996545	0.00178517	1.00347
0.996567	0.00177939	1.00344
0.996588	0.00177364	1.00342
0.99661	0.00176793	1.0034
0.996632	0.00176225	1.00338
0.996653	0.0017566	1.00336
0.996674	0.00175099	1.00334
0.996696	0.00174541	1.00331
0.996717	0.00173985	1.00329
0.996738	0.00173433	1.00327
0.996759	0.00172884	1.00325
0.99678	0.00172338	1.00323
0.9968	0.00171795	1.00321
0.996821	0.00171255	1.00319
0.996842	0.00170718	1.00317
0.996862	0.00170184	1.00315
